title                                                                                                                                                            , authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , paper_url
Aggregation of Dependent Expert Distributions in Multimodal Variational Autoencoders                                                                             , "Rogelio A. Mancisidor, Robert Jenssen, Shujian Yu, Michael Kampffmeyer"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , https://proceedings.mlr.press/v267/a-mancisidor25a.html
Lightweight Protocols for Distributed Private Quantile Estimation                                                                                                , "Anders Aamand, Fabrizio Boninsegna, Abigail Gentle, Jacob Imola, Rasmus Pagh"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://proceedings.mlr.press/v267/aamand25a.html
Breaking the $n^1.5$ Additive Error Barrier for Private and Efficient Graph Sparsification via Private Expander Decomposition                                    , "Anders Aamand, Justin Y. Chen, Mina Dalirrooyfard, Slobodan Mitrović, Yuriy Nevmyvaka, Sandeep Silwal, Yinzhan Xu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , https://proceedings.mlr.press/v267/aamand25b.html
Improved Approximations for Hard Graph Problems using Predictions                                                                                                , "Anders Aamand, Justin Y. Chen, Siddharth Gollapudi, Sandeep Silwal, Hao Wu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , https://proceedings.mlr.press/v267/aamand25c.html
Graph Neural Network Generalization With Gaussian Mixture Model Based Augmentation                                                                               , "Yassine Abbahaddou, Fragkiskos D. Malliaros, Johannes F. Lutzeyer, Amine M. Aboussalah, Michalis Vazirgiannis"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , https://proceedings.mlr.press/v267/abbahaddou25a.html
LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models                                                                                  , "Marwa Abdulhai, Isadora White, Charlie Victor Snell, Charles Sun, Joey Hong, Yuexiang Zhai, Kelvin Xu, Sergey Levine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://proceedings.mlr.press/v267/abdulhai25a.html
Task Generalization with Autoregressive Compositional Structure: Can Learning from $D$ Tasks Generalize to $D^T$ Tasks?                                          , "Amirhesam Abedsoltan, Huaqing Zhang, Kaiyue Wen, Hongzhou Lin, Jingzhao Zhang, Mikhail Belkin"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , https://proceedings.mlr.press/v267/abedsoltan25a.html
Consensus Is All You Get: The Role of Attention in Transformers                                                                                                  , "Álvaro Rodrı́guez Abella, João Pedro Silvestre, Paulo Tabuada"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://proceedings.mlr.press/v267/abella25a.html
Soup-of-Experts: Pretraining Specialist Models via Parameters Averaging                                                                                          , "Pierre Ablin, Angelos Katharopoulos, Skyler Seto, David Grangier"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , https://proceedings.mlr.press/v267/ablin25a.html
Parameters vs FLOPs: Scaling Laws for Optimal Sparsity for Mixture-of-Experts Language Models                                                                    , "Samira Abnar, Harshay Shah, Dan Busbridge, Alaaeldin El-Nouby, Joshua M. Susskind, Vimal Thilak"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/abnar25a.html
Grokking in the Wild: Data Augmentation for Real-World Multi-Hop Reasoning with Transformers                                                                     , "Roman Abramov, Felix Steinbauer, Gjergji Kasneci"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , https://proceedings.mlr.press/v267/abramov25a.html
