doc_id,paper_title,authors,categories,published,arxiv_url,abstract
2404.00822v2,"Impact of heterogeneity on infection probability: Insights from
  single-hit dose-response models",Francisco J. Perez-Reche,q-bio.PE; math.PR,2024-03-31 23:18:53,https://arxiv.org/abs/2404.00822v2,"The process of infection of a host is complex, influenced by factors such as
microbial variation within and between hosts as well as differences in dose
across hosts. This study uses dose-response and within-host microbial infection
models to delve into the impact of these factors on infection proba"
2410.07168v2,Sylber: Syllabic Embedding Representation of Speech from Raw Audio,Cheol Jun Cho; Nicholas Lee; Akshat Gupta; Dhruv Agarwal; Ethan Chen; Alan W Black; Gopala K. Anumanchipalli,cs.CL; cs.SD; eess.AS,2024-10-09 17:59:04,https://arxiv.org/abs/2410.07168v2,"Syllables are compositional units of spoken language that efficiently
structure human speech perception and production. However, current neural
speech representations lack such structure, resulting in dense token sequences
that are costly to process. To bridge this gap, we propose a new model, Sylbe"
2411.14884v3,"Uncertain standard quadratic optimization under distributional
  assumptions: a chance-constrained epigraphic approach",Immanuel M. Bomze; Daniel de Vicente,math.OC,2024-11-22 12:07:59,https://arxiv.org/abs/2411.14884v3,"The standard quadratic optimization problem (StQP) consists of minimizing a
quadratic form over the standard simplex. Without convexity or concavity of the
quadratic form, the StQP is NP-hard. This problem has many relevant real-life
applications ranging portfolio optimization to pairwise clustering"
2406.17972v3,"LABOR-LLM: Language-Based Occupational Representations with Large
  Language Models",Susan Athey; Herman Brunborg; Tianyu Du; Ayush Kanodia; Keyon Vafa,cs.LG; cs.CL; econ.EM,2024-06-25 23:07:18,https://arxiv.org/abs/2406.17972v3,"Vafa et al. (2024) introduced a transformer-based econometric model, CAREER,
that predicts a worker's next job as a function of career history (an
""occupation model""). CAREER was initially estimated (""pre-trained"") using a
large, unrepresentative resume dataset, which served as a ""foundation model,"""
2412.10128v2,Feature Selection for Latent Factor Models,Rittwika Kansabanik; Adrian Barbu,cs.LG; stat.AP,2024-12-13 13:20:10,https://arxiv.org/abs/2412.10128v2,"Feature selection is crucial for pinpointing relevant features in
high-dimensional datasets, mitigating the 'curse of dimensionality,' and
enhancing machine learning performance. Traditional feature selection methods
for classification use data from all classes to select features for each class.
Thi"
2412.15239v2,"Modeling Story Expectations to Understand Engagement: A Generative
  Framework Using LLMs",Hortense Fong; George Gui,cs.CL; cs.AI; econ.GN; q-fin.EC; stat.ME,2024-12-13 04:53:34,https://arxiv.org/abs/2412.15239v2,"Understanding when and why consumers engage with stories is crucial for
content creators and platforms. While existing theories suggest that audience
beliefs of what is going to happen should play an important role in engagement
decisions, empirical work has mostly focused on developing techniques t"
2403.18677v2,Blue repulsive potential for dysprosium Bose-Einstein condensates,Niccolò Preti; Nicolò Antolini; Giulio Biagioni; Andrea Fioretti; Giovanni Modugno; Luca Tanzi; Carlo Gabbanini,cond-mat.quant-gas; physics.atom-ph; quant-ph,2024-03-27 15:20:51,https://arxiv.org/abs/2403.18677v2,"Short-wavelength repulsive potentials for quantum gases allow to realize new
systems and to study new phenomena. Here we report the realization of repulsive
optical potentials for dysprosium atoms in the blue region of the spectrum, at
wavelengths close to 400 nm. We employ a spectrallyfiltered diod"
2412.06611v2,Seismic Traveltime Inversion with Quantum Annealing,Hoang Anh Nguyen; Ali Tura,physics.geo-ph,2024-12-09 16:03:42,https://arxiv.org/abs/2412.06611v2,"This study demonstrates the application of quantum computing based quantum
annealing to seismic traveltime inversion, a critical approach for inverting
highly accurate velocity models. The seismic inversion problem is first
converted into a Quadratic Unconstrained Binary Optimization problem, which "
2412.10243v3,"Next-Generation Industrial Networks: Integrating Time-Sensitive
  Networking for Smart Factory Reliability",Yazen S. Sheet; Mohammed Younis Thanoun; Firas S. Alsharbaty,cs.NI,2024-12-13 16:12:39,https://arxiv.org/abs/2412.10243v3,"The traditional industrial communication networks may not meet the
requirements of the main smart factory applications together, such as Remote
control and safety applications (which considered as strict real time
applications) and augmented reality (which consumes wide bandwidth). This work
suggest"
2411.13384v2,"On multivariate contribution measures of systemic risk with applications
  in cryptocurrency market",Limin Wen; Junxue Li; Tong Pu; Yiying Zhang,q-fin.RM,2024-11-20 15:14:17,https://arxiv.org/abs/2411.13384v2,"Conditional risk measures and their associated risk contribution measures are
commonly employed in finance and actuarial science for evaluating systemic risk
and quantifying the effects of risk interactions. This paper introduces various
types of contribution ratio measures based on the MCoVaR, MCoE"
2409.01631v3,"Doppler Power Spectrum in Channels with von Mises-Fisher Distribution of
  Scatterers",Kenan Turbic; Martin Kasparick; Slawomir Stanczak,eess.SP; stat.OT,2024-09-03 05:59:58,https://arxiv.org/abs/2409.01631v3,"This paper presents an analytical analysis of the Doppler spectrum in von
Mises-Fisher (vMF) scattering channels. A simple closed-form expression for the
Doppler spectrum is derived and used to investigate the impact of the vMF
scattering parameters, i.e., the mean direction and the degree of concen"
2412.11130v5,Investigation about a statement equivalent to Riemann Hypothesis (RH),Giovanni Lodone,math.GM,2024-12-15 09:27:42,https://arxiv.org/abs/2412.11130v5,"We try to approach a known equivalence to RH involving relative maxima and
minima of Xi(t) on critical line by a representation of the derivative of the
phase of Xi(s) with respect to imaginary coordinate that involves directly
Euler product. In this attempt it is found an object conjectured to be t"
2405.17070v2,"Efficient mid-term forecasting of hourly electricity load using
  generalized additive models",Monika Zimmermann; Florian Ziel,stat.AP; cs.LG; econ.GN; q-fin.EC,2024-05-27 11:41:41,https://arxiv.org/abs/2405.17070v2,"Accurate mid-term (weeks to one year) hourly electricity load forecasts are
essential for strategic decision-making in power plant operation, ensuring
supply security and grid stability, planning and building energy storage
systems, and energy trading. While numerous models effectively predict
short"
2409.02275v2,Active laser cooling of a centimeter-scale torsional oscillator,Dong-Chel Shin; Tina M. Hayward; Dylan Fife; Rajesh Menon; Vivishek Sudhir,quant-ph; physics.atom-ph; physics.optics,2024-09-03 20:20:38,https://arxiv.org/abs/2409.02275v2,"Experimental tests of gravity's fundamental nature call for mechanical
systems in the quantum regime while being sensitive to gravity. Torsion
pendula, historically vital in studies of classical gravity, are ideal for
extending gravitational tests into the quantum realm due to their inherently
high "
2406.07726v3,A Concise Mathematical Description of Active Inference in Discrete Time,Jesse van Oostrum; Carlotta Langer; Nihat Ay,cs.LG; q-bio.NC,2024-06-11 21:09:45,https://arxiv.org/abs/2406.07726v3,"In this paper we present a concise mathematical description of active
inference in discrete time. The main part of the paper serves as a basic
introduction to the topic, including a detailed example of the action selection
mechanism. The appendix discusses the more subtle mathematical details,
targe"
2404.19707v4,"Identification by non-Gaussianity in structural threshold and smooth
  transition vector autoregressive models",Savi Virolainen,econ.EM; math.ST; stat.ME; stat.TH,2024-04-30 16:59:38,https://arxiv.org/abs/2404.19707v4,"Linear structural vector autoregressive models can be identified
statistically without imposing restrictions on the model if the shocks are
mutually independent and at most one of them is Gaussian. We show that this
result extends to structural threshold and smooth transition vector
autoregressive m"
2408.02322v2,"Consistent time travel for realistic interactions with historical data:
  reinforcement learning for market making",Vincent Ragel; Damien Challet,q-fin.TR,2024-08-05 09:07:36,https://arxiv.org/abs/2408.02322v2,"Reinforcement learning works best when the impact of the agent's actions on
its environment can be perfectly simulated or fully appraised from available
data. Some systems are however both hard to simulate and very sensitive to
small perturbations. An additional difficulty arises when a RL agent is "
2405.13422v2,Learning to Import through Production Networks,Kenan Huremović; Federico Nutarelli; Francesco Serti; Fernando Vega-Redondo,econ.GN; q-fin.EC,2024-05-22 08:04:10,https://arxiv.org/abs/2405.13422v2,"Using administrative data on the universe of inter-firm transactions in
Spain, we show that firms learn to import from their domestic suppliers and
customers. Our identification strategy exploits the panel structure of the
data, the firm-time variation across import origins, and the network structur"
2407.02511v2,"LLM-A*: Large Language Model Enhanced Incremental Heuristic Search on
  Path Planning",Silin Meng; Yiwei Wang; Cheng-Fu Yang; Nanyun Peng; Kai-Wei Chang,cs.RO; cs.AI; cs.CL,2024-06-20 01:24:30,https://arxiv.org/abs/2407.02511v2,"Path planning is a fundamental scientific problem in robotics and autonomous
navigation, requiring the derivation of efficient routes from starting to
destination points while avoiding obstacles. Traditional algorithms like A* and
its variants are capable of ensuring path validity but suffer from si"
2407.04378v2,On pro-cdh descent on derived schemes,Shane Kelly; Shuji Saito; Georg Tamme,math.KT; math.AG,2024-07-05 09:30:07,https://arxiv.org/abs/2407.04378v2,"We prove a `pro-cdh descent' result for suitably connective localizing
invariants and the cotangent complex on arbitrary qcqs derived schemes. As an
application, we deduce that the K-groups of arbitrary qcqs schemes vanish below
the negative of their valuative dimension."
2407.17674v2,"Struc2mapGAN: improving synthetic cryo-EM density maps with generative
  adversarial networks",Chenwei Zhang; Anne Condon; Khanh Dao Duc,cs.LG; q-bio.BM,2024-07-24 23:47:05,https://arxiv.org/abs/2407.17674v2,"Generating synthetic cryogenic electron microscopy 3D density maps from
molecular structures has potential important applications in structural
biology. Yet existing simulation-based methods cannot mimic all the complex
features present in experimental maps, such as secondary structure elements. As
"
2403.20331v2,"Unsolvable Problem Detection: Robust Understanding Evaluation for Large
  Multimodal Models",Atsuyuki Miyai; Jingkang Yang; Jingyang Zhang; Yifei Ming; Qing Yu; Go Irie; Yixuan Li; Hai Li; Ziwei Liu; Kiyoharu Aizawa,cs.CV; cs.AI; cs.CL; cs.LG,2024-03-29 17:59:53,https://arxiv.org/abs/2403.20331v2,"This paper introduces a novel task to evaluate the robust understanding
capability of Large Multimodal Models (LMMs), termed $\textbf{Unsolvable
Problem Detection (UPD)}$. Multiple-choice question answering (MCQA) is widely
used to assess the understanding capability of LMMs, but it does not guarant"
2406.18052v3,Flexible Conformal Highest Predictive Conditional Density Sets,Max Sampson; Kung-Sik Chan,stat.ME; math.ST; stat.TH,2024-06-26 04:03:09,https://arxiv.org/abs/2406.18052v3,"We introduce our method, conformal highest conditional density sets (CHCDS),
that forms conformal prediction sets using existing estimated conditional
highest density predictive regions. We prove the validity of the method, and
that conformal adjustment is negligible under some regularity conditions"
2403.13015v2,HyperVQ: MLR-based Vector Quantization in Hyperbolic Space,Nabarun Goswami; Yusuke Mukuta; Tatsuya Harada,eess.IV; cs.LG,2024-03-18 03:17:08,https://arxiv.org/abs/2403.13015v2,"The success of models operating on tokenized data has heightened the need for
effective tokenization methods, particularly in vision and auditory tasks where
inputs are naturally continuous. A common solution is to employ Vector
Quantization (VQ) within VQ Variational Autoencoders (VQVAEs), transfor"
2404.09796v2,"Heterogeneity, trade integration and spatial inequality",José M. Gaspar,econ.TH,2024-04-15 13:52:55,https://arxiv.org/abs/2404.09796v2,"We study the impact of economic integration on agglomeration in a model where
all consumers are inter-regionally mobile and have heterogeneous preferences
regarding their residential location choices. This heterogeneity is the unique
dispersion force in the model. We show that, under reasonable valu"
2402.09444v3,Multimodal Action Quality Assessment,Ling-An Zeng; Wei-Shi Zheng,eess.SP; cs.AI; cs.CV,2024-01-31 15:37:12,https://arxiv.org/abs/2402.09444v3,"Action quality assessment (AQA) is to assess how well an action is performed.
Previous works perform modelling by only the use of visual information,
ignoring audio information. We argue that although AQA is highly dependent on
visual information, the audio is useful complementary information for im"
2404.19707v3,"Identification by non-Gaussianity in structural threshold and smooth
  transition vector autoregressive models",Savi Virolainen,econ.EM; math.ST; stat.ME; stat.TH,2024-04-30 16:59:38,https://arxiv.org/abs/2404.19707v3,"Linear structural vector autoregressive models can be identified
statistically without imposing restrictions on the model if the shocks are
mutually independent and at most one of them is Gaussian. We show that this
result extends to structural threshold and smooth transition vector
autoregressive m"
2410.11774v2,Fractal Calibration for long-tailed object detection,Konstantinos Panagiotis Alexandridis; Ismail Elezi; Jiankang Deng; Anh Nguyen; Shan Luo,cs.CV,2024-10-15 16:55:10,https://arxiv.org/abs/2410.11774v2,"Real-world datasets follow an imbalanced distribution, which poses
significant challenges in rare-category object detection. Recent studies tackle
this problem by developing re-weighting and re-sampling methods, that utilise
the class frequencies of the dataset. However, these techniques focus solel"
2405.11284v3,The Logic of Counterfactuals and the Epistemology of Causal Inference,Hanti Lin,cs.AI; econ.EM; stat.ME; stat.OT,2024-05-18 13:09:33,https://arxiv.org/abs/2405.11284v3,"The 2021 Nobel Prize in Economics recognized an epistemology of causal
inference based on the Rubin causal model (Rubin 1974), which merits broader
attention in philosophy. This model, in fact, presupposes a logical principle
of counterfactuals, Conditional Excluded Middle (CEM), the locus of a pivo"
2406.18046v2,"On the time-dependent Aharonov-Bohm effect and the 4-dimensional Stokes
  theorem",Masashi Wakamatsu,quant-ph; hep-ph; nucl-th; physics.ed-ph,2024-06-26 03:47:53,https://arxiv.org/abs/2406.18046v2,"The time-dependent Aharonov-Bohm (AB) effect considers the situation in which
the magnetic flux inside the solenoid changes time-dependently. Different from
the standard AB-effect, the problem is unexpectedly subtle and not easy to
solve without any doubt, which is the reason why it is still in a st"
2405.04904v2,Dependence-based fuzzy clustering of functional time series,Angel Lopez-Oriona; Ying Sun; Han Lin Shang,stat.ME; stat.AP,2024-05-08 09:20:58,https://arxiv.org/abs/2405.04904v2,"Time series clustering is essential in scientific applications, yet methods
for functional time series, collections of infinite-dimensional curves treated
as random elements in a Hilbert space, remain underdeveloped. This work
presents clustering approaches for functional time series that combine th"
2405.16945v4,"Joint Channel, Data, and Radar Parameter Estimation for AFDM Systems in
  Doubly-Dispersive Channels",Kuranage Roche Rayan Ranasinghe; Hyeon Seok Rou; Giuseppe Thadeu Freitas de Abreu; Takumi Takahashi; Kenta Ito,eess.SP,2024-05-27 08:37:26,https://arxiv.org/abs/2405.16945v4,"We propose new schemes for joint channel and data estimation (JCDE) and radar
parameter estimation (RPE) in doubly-dispersive channels, such that integrated
sensing and communications (ISAC) is enabled by user equipment (UE)
independently performing JCDE, and base stations (BSs) performing RPE. The
"
2406.14174v3,Redistribution Through Market Segmentation,Victor Augias; Alexis Ghersengorin; Daniel M. A. Barreto,econ.TH,2024-06-20 10:28:16,https://arxiv.org/abs/2406.14174v3,"We study how to optimally segment monopolistic markets with a redistributive
objective. We characterize optimal redistributive segmentations and show that
they (i) induce the seller to price progressively, i.e., richer consumers pay
higher prices than poorer ones, and (ii) may not maximize consumer "
2403.03367v4,am-AMM: An Auction-Managed Automated Market Maker,Austin Adams; Ciamac C. Moallemi; Sara Reynolds; Dan Robinson,q-fin.TR; cs.GT; math.OC; q-fin.MF,2024-03-05 23:28:50,https://arxiv.org/abs/2403.03367v4,"Automated market makers (AMMs) have emerged as the dominant market mechanism
for trading on decentralized exchanges implemented on blockchains. This paper
presents a single mechanism that targets two important unsolved problems for
AMMs: reducing losses to informed orderflow, and maximizing revenue "
2411.00816v2,CycleResearcher: Improving Automated Research via Automated Review,Yixuan Weng; Minjun Zhu; Guangsheng Bao; Hongbo Zhang; Jindong Wang; Yue Zhang; Linyi Yang,cs.CL; cs.AI; cs.LG,2024-10-28 08:10:21,https://arxiv.org/abs/2411.00816v2,"The automation of scientific discovery has been a long-standing goal within
the research community, driven by the potential to accelerate knowledge
creation. While significant progress has been made using commercial large
language models (LLMs) as research assistants or idea generators, the
possibil"
2401.11899v3,Unambiguous Efficiency of Random Allocations,Eun Jeong Heo; Vikram Manjunath; Samson Alva,econ.TH,2024-01-22 12:49:44,https://arxiv.org/abs/2401.11899v3,"In the problem of allocating indivisible objects via lottery, a social
planner often knows only agents' ordinal preferences over objects, but not
their complete preferences over lotteries. Such an informationally constrained
planner cannot distinguish between different utility profiles that induce t"
